                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.8309,                 2.9691,                 1.8598,                  2.086,                0.53226,                0.68182,                0.65079,                0.28074,                0.55264,                0.68182,                0.60428,                0.17302,                 1.8885,                 3.3241,                 1.6068,                 2.4788,              0.0016205,              0.0016205,              0.0016205
                     25,                 1.8049,                 3.0239,                 1.8957,                 2.0941,                0.46728,                0.65909,                 0.5949,                0.20852,                0.38111,                0.54545,                0.42203,                0.12444,                 2.1255,                 3.5711,                 1.7941,                 2.6055,               0.001604,               0.001604,               0.001604
                     26,                 1.7822,                 2.8486,                 1.9219,                 2.0456,                0.46225,                    0.5,                0.56527,                0.20618,                0.56101,                    0.5,                0.55546,                0.15939,                 1.9856,                 2.9644,                 1.7334,                 2.5424,              0.0015875,              0.0015875,              0.0015875
                     27,                 1.7312,                 2.8608,                 1.7381,                 1.9903,                 0.5352,                0.61364,                0.67439,                0.27783,                0.41231,                0.65909,                0.54967,                0.17848,                 1.7005,                 3.0191,                 1.5383,                 2.3143,               0.001571,               0.001571,               0.001571
                     28,                 1.7598,                 2.7375,                 1.8286,                 2.0474,                 0.4154,                   0.75,                0.58471,                0.20779,                0.32579,                0.56818,                0.35095,                0.12232,                 2.0439,                 3.2385,                 1.6974,                 2.6391,              0.0015545,              0.0015545,              0.0015545
                     29,                 1.7574,                 2.8035,                 1.8458,                 1.9831,                0.37687,                0.65978,                0.56015,                0.22064,                0.50637,                0.36364,                  0.392,                0.12857,                 1.8477,                 3.2052,                 1.7315,                 2.4572,               0.001538,               0.001538,               0.001538
                     30,                 1.6598,                 2.6012,                 1.7219,                 1.9008,                0.33898,                0.68182,                0.48169,                0.18309,                0.31075,                0.59091,                 0.4005,                0.14203,                  1.971,                 3.2381,                 2.0278,                 2.4901,              0.0015215,              0.0015215,              0.0015215
                     31,                  1.625,                 2.6074,                 1.7972,                 1.8832,                0.48172,                0.63636,                0.59751,                 0.2394,                0.45337,                0.58443,                 0.4973,                0.20898,                 1.7905,                 3.0044,                 2.1215,                 2.4217,               0.001505,               0.001505,               0.001505
                     32,                 1.5746,                 2.5257,                 1.7012,                 1.8483,                0.51621,                 0.8003,                0.60424,                0.25428,                0.46005,                0.71656,                0.51215,                0.15699,                 1.8631,                  3.065,                 1.6446,                 2.4348,              0.0014885,              0.0014885,              0.0014885
                     33,                 1.6207,                 2.5153,                 1.7551,                  1.904,                0.51653,                0.79545,                0.62518,                0.31275,                0.59895,                0.63636,                0.63224,                0.23444,                 1.6923,                 2.9314,                 1.4848,                 2.3835,               0.001472,               0.001472,               0.001472
                     34,                 1.7087,                 2.5967,                 1.5548,                 1.8976,                0.54611,                0.65909,                0.67501,                0.33924,                0.49893,                0.56818,                  0.602,                0.21928,                  1.796,                 2.9937,                 1.4627,                 2.3385,              0.0014555,              0.0014555,              0.0014555
                     35,                 1.6885,                 2.5434,                 1.6318,                 1.9179,                0.65116,                0.70455,                0.74149,                0.27205,                0.66609,                0.68182,                0.68366,                 0.2547,                 1.9076,                 2.9212,                 1.5663,                  2.422,               0.001439,               0.001439,               0.001439
                     36,                   1.63,                 2.5064,                 1.5548,                 1.8527,                0.55131,                0.72727,                0.65428,                0.28368,                0.61893,                0.66454,                0.63792,                0.23581,                 1.7572,                 2.8304,                 1.4367,                 2.3688,              0.0014225,              0.0014225,              0.0014225
                     37,                 1.5502,                 2.3363,                 1.5418,                 1.8007,                0.50207,                0.79545,                0.58198,                0.22123,                0.48253,                0.67822,                0.55906,                0.17032,                 1.8511,                 3.1738,                 1.5064,                 2.4136,               0.001406,               0.001406,               0.001406
                     38,                 1.5037,                 2.3918,                 1.5722,                 1.8353,                0.50352,                   0.75,                0.68148,                0.28208,                  0.546,                0.68182,                0.61443,                0.22063,                 1.8112,                  2.679,                 1.4238,                 2.4091,              0.0013895,              0.0013895,              0.0013895
                     39,                 1.5659,                 2.2809,                 1.4949,                 1.7953,                0.58205,                0.77273,                0.70445,                0.26995,                0.56483,                0.70455,                0.62309,                0.23576,                 1.8954,                 2.7525,                 1.3312,                 2.5038,               0.001373,               0.001373,               0.001373
                     40,                 1.5651,                 2.3628,                 1.5216,                 1.8278,                0.68794,                0.72727,                0.72823,                0.31744,                0.71296,                0.73398,                0.74386,                0.31796,                 1.7572,                 2.9034,                 1.3264,                 2.3433,              0.0013565,              0.0013565,              0.0013565
                     41,                 1.5127,                 2.1942,                 1.3995,                 1.7595,                0.67179,                   0.75,                0.73354,                0.32937,                0.58976,                0.65909,                0.57233,                0.26211,                 1.7892,                 2.7457,                 1.4116,                 2.3748,                0.00134,                0.00134,                0.00134
                     42,                 1.4901,                 2.2484,                 1.3907,                 1.7039,                0.63616,                   0.75,                0.68902,                0.30879,                0.60727,                0.65909,                0.61054,                0.23802,                 1.7396,                 2.7233,                 1.3638,                 2.3606,              0.0013235,              0.0013235,              0.0013235
                     43,                 1.5037,                 2.3733,                 1.4096,                 1.7327,                0.65883,                0.65909,                0.71733,                0.28628,                0.54524,                0.54545,                0.50512,                0.17873,                 1.8446,                 2.6869,                 1.5014,                 2.3941,               0.001307,               0.001307,               0.001307
                     44,                 1.4889,                 2.2694,                 1.4067,                 1.7407,                0.64208,                0.77273,                 0.6905,                0.31917,                0.67021,                0.65909,                0.60176,                 0.2704,                 1.9407,                 2.7493,                  1.278,                 2.4372,              0.0012905,              0.0012905,              0.0012905
                     45,                 1.5098,                 2.2439,                 1.4331,                 1.7582,                0.70937,                0.66579,                0.71262,                0.34317,                0.68515,                0.64306,                0.64033,                0.29572,                 1.7778,                 2.7692,                 1.3227,                 2.3364,               0.001274,               0.001274,               0.001274
                     46,                 1.3749,                 2.1768,                 1.4207,                 1.6733,                0.77772,                0.63614,                0.79397,                0.42075,                0.73895,                0.64347,                0.74962,                0.37121,                  1.533,                 2.4813,                 1.3697,                 2.1092,              0.0012575,              0.0012575,              0.0012575
                     47,                 1.3566,                  2.109,                 1.4122,                 1.6641,                0.68266,                   0.75,                0.81175,                0.38503,                0.65153,                0.70455,                0.74622,                0.30724,                  1.684,                 2.5627,                 1.4117,                 2.2172,               0.001241,               0.001241,               0.001241
                     48,                 1.3607,                 2.0963,                 1.3057,                 1.6423,                0.80714,                0.65909,                0.80556,                0.36807,                0.73859,                0.70638,                0.77445,                0.34587,                 1.9282,                  2.462,                 1.2168,                 2.5016,              0.0012245,              0.0012245,              0.0012245
                     49,                 1.3942,                 2.1221,                 1.2993,                 1.6508,                0.81874,                0.82133,                0.87963,                0.43803,                0.70136,                0.68182,                0.68906,                0.30455,                 1.6985,                 2.8286,                 1.0818,                 2.2172,               0.001208,               0.001208,               0.001208
                     50,                 1.3621,                 1.9982,                 1.2803,                 1.6794,                0.70779,                0.71576,                0.80849,                0.41231,                0.78288,                0.81953,                0.84079,                 0.3686,                 1.7198,                 2.4652,                 1.1652,                  2.292,              0.0011915,              0.0011915,              0.0011915
                     51,                 1.3814,                 2.1909,                 1.3437,                 1.6845,                0.77141,                0.76707,                0.80216,                0.38539,                0.72816,                0.70455,                0.70827,                0.30555,                 1.6907,                 2.5557,                 1.2564,                 2.2696,               0.001175,               0.001175,               0.001175
                     52,                  1.353,                 2.0285,                 1.3163,                 1.6387,                0.81311,                0.79545,                0.87607,                 0.4315,                0.78499,                0.74686,                 0.7624,                0.33598,                 1.6612,                  2.735,                 1.2541,                 2.1253,              0.0011585,              0.0011585,              0.0011585
                     53,                 1.3256,                 1.9836,                 1.2425,                 1.5885,                 0.6935,                0.70455,                0.77135,                0.36535,                0.72358,                0.72727,                0.75721,                0.37146,                 1.7901,                 2.7251,                 1.3206,                 2.3509,               0.001142,               0.001142,               0.001142
                     54,                 1.2695,                  1.786,                 1.2351,                 1.5726,                0.80897,                0.77003,                0.85615,                0.46996,                0.85501,                 0.6703,                0.77377,                0.38117,                 1.6524,                 2.5349,                 1.1488,                 2.2156,              0.0011255,              0.0011255,              0.0011255
                     55,                 1.2792,                  1.956,                 1.2181,                 1.5851,                0.68338,                0.83398,                0.77208,                0.38586,                0.81917,                0.72083,                0.71853,                 0.3685,                 1.7253,                 2.4702,                  1.176,                 2.3347,               0.001109,               0.001109,               0.001109
                     56,                 1.3393,                 1.9765,                 1.2778,                 1.6131,                0.81875,                0.79545,                0.87732,                0.45996,                0.84747,                0.81818,                0.85733,                0.41866,                 1.5255,                 2.5051,                  1.118,                 2.1067,              0.0010925,              0.0010925,              0.0010925
                     57,                 1.2495,                  1.812,                 1.1312,                 1.5586,                0.74589,                0.80061,                0.86788,                0.48643,                0.72368,                0.77383,                0.78124,                0.38729,                 1.4686,                 2.4568,                  1.106,                 2.0023,               0.001076,               0.001076,               0.001076
                     58,                  1.278,                 1.9263,                 1.1947,                 1.6031,                0.78115,                0.70455,                0.78169,                0.40304,                0.81803,                0.72727,                0.79786,                0.37445,                 1.5605,                 2.1934,                 1.1107,                  2.178,              0.0010595,              0.0010595,              0.0010595
                     59,                 1.2555,                 1.8264,                 1.1812,                 1.5714,                0.75328,                0.81818,                0.85984,                0.42645,                0.74676,                0.81818,                0.83313,                 0.3893,                 1.6383,                 2.2376,                 1.0838,                 2.1588,               0.001043,               0.001043,               0.001043
                     60,                 1.1992,                 1.8677,                  1.175,                 1.4986,                0.86247,                0.79545,                0.89392,                0.49176,                0.88799,                0.72085,                0.86061,                0.43616,                 1.5463,                 2.2301,                 1.0369,                 2.0605,              0.0010265,              0.0010265,              0.0010265
                     61,                 1.1559,                 1.8714,                 1.1332,                 1.4837,                0.77895,                0.93182,                0.90002,                0.46475,                0.78621,                0.83588,                0.84602,                0.40521,                 1.5341,                 2.1789,                0.98644,                  2.112,                0.00101,                0.00101,                0.00101
                     62,                  1.172,                   1.77,                 1.1196,                 1.5193,                0.88397,                0.69272,                0.84794,                0.42505,                0.91183,                 0.7051,                0.86459,                0.38985,                 1.7213,                 2.3044,                0.98666,                 2.3185,              0.0009935,              0.0009935,              0.0009935
                     63,                  1.149,                 1.6477,                 1.0758,                 1.4593,                0.72618,                0.84091,                0.79872,                 0.4209,                0.70655,                0.81818,                0.74301,                0.33551,                 1.5939,                  2.582,                 1.1533,                 2.2075,               0.000977,               0.000977,               0.000977
                     64,                  1.181,                 1.7225,                 1.1865,                 1.5184,                0.77389,                0.77796,                0.84064,                0.48815,                0.79625,                0.79944,                0.80997,                0.43766,                 1.5209,                 2.2541,                 1.0283,                  2.131,              0.0009605,              0.0009605,              0.0009605
                     65,                 1.1052,                  1.643,                 1.0929,                  1.443,                0.75628,                0.77273,                0.82236,                 0.4379,                0.75628,                0.77273,                0.81372,                 0.3817,                 1.7468,                 2.5552,                 1.1125,                 2.3491,               0.000944,               0.000944,               0.000944
                     66,                 1.1049,                 1.8002,                 1.1004,                 1.4311,                0.80409,                0.79545,                0.86618,                0.47429,                0.77717,                0.77273,                0.81657,                 0.4246,                 1.6027,                 2.3702,                 0.9783,                 2.1581,              0.0009275,              0.0009275,              0.0009275
                     67,                 1.0817,                 1.7723,                 1.0868,                 1.4708,                0.83709,                0.81818,                0.90469,                0.57006,                0.85763,                0.86364,                 0.8981,                0.49688,                 1.3707,                 2.2409,                0.96865,                 1.9208,               0.000911,               0.000911,               0.000911
                     68,                 1.1244,                  1.729,                 1.0729,                  1.455,                0.87747,                0.81389,                0.91238,                0.55086,                0.87611,                0.80372,                0.86809,                 0.4728,                 1.4211,                 2.4097,                0.99548,                 1.9822,              0.0008945,              0.0008945,              0.0008945
                     69,                 1.0408,                 1.5434,                0.98526,                 1.3695,                0.85133,                   0.75,                0.90824,                0.53957,                0.82957,                0.70455,                0.84606,                0.44256,                 1.4688,                  2.268,                0.98675,                 2.0095,               0.000878,               0.000878,               0.000878
                     70,                 1.1448,                 1.6838,                 1.0734,                 1.4996,                0.80089,                0.91422,                0.90674,                0.51959,                0.84585,                0.88636,                0.87749,                0.40158,                 1.5104,                 2.1996,                0.94278,                 2.1163,              0.0008615,              0.0008615,              0.0008615
                     71,                 1.0959,                 1.7722,                 1.1042,                 1.4567,                0.86833,                0.89944,                 0.9439,                0.51693,                0.84535,                   0.75,                0.82519,                0.41131,                 1.4691,                 2.0669,                 0.9534,                 2.0326,               0.000845,               0.000845,               0.000845
                     72,                 1.1123,                 1.6396,                 1.0696,                 1.4578,                0.79823,                0.80932,                 0.8903,                 0.4954,                0.79823,                0.80932,                0.83414,                0.41899,                 1.4665,                 2.0867,                 1.0215,                  2.007,              0.0008285,              0.0008285,              0.0008285
                     73,                 1.0854,                 1.6241,                 1.0404,                 1.4377,                0.87181,                0.84091,                0.90078,                0.53631,                0.80043,                0.82041,                0.83965,                0.43101,                 1.4163,                 2.0267,                 0.9057,                 1.9787,               0.000812,               0.000812,               0.000812
                     74,                 1.0041,                 1.5575,                0.94184,                 1.3456,                0.75749,                0.84091,                0.83063,                0.49659,                0.71627,                0.79545,                0.78445,                0.39322,                 1.4973,                 2.2229,                 1.0173,                 2.0284,              0.0007955,              0.0007955,              0.0007955
                     75,                0.97628,                 1.4621,                0.92621,                 1.3749,                0.85149,                0.78199,                0.85389,                0.52574,                0.82674,                0.75927,                0.81166,                0.45418,                 1.4457,                 2.3716,                0.97502,                 2.0165,               0.000779,               0.000779,               0.000779
                     76,                 1.0373,                 1.5597,                 1.0451,                   1.39,                0.73338,                0.84091,                0.85877,                0.55127,                0.76397,                0.88282,                0.86075,                0.47818,                 1.3875,                 2.6001,                0.90255,                 1.9318,              0.0007625,              0.0007625,              0.0007625
                     77,                 1.0079,                 1.4881,                0.99218,                 1.3852,                0.77304,                0.85163,                0.89515,                0.50687,                0.84573,                0.79545,                0.86111,                0.42629,                 1.4083,                 2.5538,                 1.0077,                 1.9699,               0.000746,               0.000746,               0.000746
                     78,                 1.0677,                 1.5491,                 1.0286,                 1.4107,                0.78951,                0.81818,                0.86297,                0.52648,                0.85079,                   0.75,                0.82357,                0.39132,                 1.4253,                 2.6661,                 0.9251,                 1.9931,              0.0007295,              0.0007295,              0.0007295
                     79,                 1.0639,                 1.6427,                 1.0367,                 1.4214,                0.80836,                0.95875,                0.92753,                0.58371,                0.83501,                0.81818,                0.87086,                0.45178,                 1.3631,                 2.3161,                0.84464,                 1.9404,               0.000713,               0.000713,               0.000713
                     80,                 1.0133,                 1.4942,                0.96872,                 1.3888,                0.77735,                0.90909,                0.84927,                0.54605,                 0.9244,                0.83383,                0.87696,                0.44475,                 1.4136,                  2.194,                0.83057,                 1.9937,              0.0006965,              0.0006965,              0.0006965
                     81,                 1.0051,                  1.538,                 1.0395,                 1.3937,                0.84782,                0.88634,                0.86624,                0.54228,                0.83781,                0.82185,                0.83589,                0.45107,                 1.3351,                 2.2875,                0.88984,                 1.9374,                0.00068,                0.00068,                0.00068
                     82,                0.99157,                 1.5405,                 0.9197,                 1.3522,                0.82371,                0.84965,                0.87303,                 0.5772,                0.91381,                0.81818,                0.89449,                 0.4639,                 1.3057,                 2.3419,                0.91079,                 1.8398,              0.0006635,              0.0006635,              0.0006635
                     83,                 0.9586,                 1.3558,                0.90043,                 1.3127,                0.83773,                0.93876,                0.93949,                0.60581,                0.86923,                0.90649,                0.91829,                0.48438,                 1.2359,                 2.2596,                0.85923,                 1.7572,               0.000647,               0.000647,               0.000647
                     84,                0.94698,                 1.5116,                0.92099,                 1.3659,                0.88164,                0.93182,                0.95223,                0.60931,                0.81109,                0.87833,                0.89127,                0.49946,                 1.2298,                 2.2144,                0.84596,                 1.7649,              0.0006305,              0.0006305,              0.0006305
                     85,                0.98478,                 1.3769,                0.88316,                  1.355,                0.87998,                0.90909,                0.94546,                0.60835,                0.90571,                0.87338,                0.91286,                0.50384,                 1.3033,                 2.2331,                0.77814,                  1.814,               0.000614,               0.000614,               0.000614
