                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.85324,                 1.2589,                0.81548,                 1.2387,                0.88522,                0.77273,                 0.8473,                0.55651,                0.85586,                   0.75,                 0.8268,                0.49859,                 1.2796,                  2.236,                0.79346,                 1.8769,              0.0003995,              0.0003995,              0.0003995
                     99,                0.82714,                 1.2195,                 0.8155,                 1.2649,                0.89276,                0.75697,                0.85473,                0.56379,                0.91957,                0.77969,                0.90029,                0.50194,                 1.2624,                 2.2138,                0.79258,                 1.8354,               0.000383,               0.000383,               0.000383
                    100,                 0.8635,                 1.3411,                0.87656,                 1.2781,                0.90348,                0.85108,                0.91817,                0.58964,                0.89829,                0.86364,                0.91562,                0.52252,                 1.2418,                 2.1188,                0.77747,                 1.8033,              0.0003665,              0.0003665,              0.0003665
                    101,                0.84093,                 1.1199,                0.80588,                 1.2634,                0.85053,                0.90537,                0.92835,                0.58104,                0.85053,                0.90537,                0.88964,                0.52566,                 1.2644,                 2.0982,                0.78439,                 1.8187,                0.00035,                0.00035,                0.00035
                    102,                0.81443,                 1.2049,                0.79787,                 1.2432,                0.83364,                0.86364,                0.92091,                 0.5708,                0.90054,                0.82322,                0.91468,                0.52628,                 1.3197,                  2.223,                0.76428,                 1.8679,              0.0003335,              0.0003335,              0.0003335
                    103,                0.84064,                 1.2525,                0.77344,                  1.244,                0.85648,                0.88636,                0.92583,                0.58674,                0.89531,                0.77753,                0.88447,                0.52516,                 1.2248,                 2.1976,                0.75056,                   1.81,               0.000317,               0.000317,               0.000317
                    104,                0.80006,                 1.1036,                0.72217,                 1.2176,                0.89617,                0.86364,                0.91699,                0.59273,                 0.8797,                0.83107,                0.87175,                0.52641,                 1.2523,                 2.0623,                0.72098,                 1.8225,              0.0003005,              0.0003005,              0.0003005
                    105,                0.87251,                 1.3798,                0.83804,                 1.2637,                0.89366,                0.81818,                0.90488,                0.58935,                0.93579,                0.81818,                0.86746,                0.53194,                 1.2646,                 2.0624,                0.73372,                 1.8679,               0.000284,               0.000284,               0.000284
                    106,                0.77852,                 1.2204,                0.77078,                 1.2343,                0.87497,                0.88636,                0.92747,                0.60279,                0.83591,                0.84091,                0.86403,                0.55454,                 1.2008,                 2.1041,                0.72057,                 1.8015,              0.0002675,              0.0002675,              0.0002675
                    107,                0.77086,                  1.156,                0.78636,                 1.2162,                0.90638,                0.88029,                0.93234,                0.62161,                0.85894,                0.83045,                0.88654,                0.56586,                 1.2163,                 2.0686,                0.67279,                 1.8036,               0.000251,               0.000251,               0.000251
                    108,                 0.7774,                 1.2108,                0.76683,                 1.2183,                0.85389,                0.93182,                0.93419,                0.62503,                0.94407,                0.77273,                0.88624,                0.56457,                 1.1975,                  2.057,                0.65256,                 1.7924,              0.0002345,              0.0002345,              0.0002345
                    109,                0.74641,                 1.0787,                0.70494,                 1.1788,                0.88544,                0.90909,                0.93135,                0.62337,                0.89921,                0.81121,                0.87362,                0.55787,                  1.226,                 2.1001,                0.66124,                 1.8276,               0.000218,               0.000218,               0.000218
                    110,                0.82189,                 1.2067,                0.81053,                 1.2323,                0.83425,                0.90909,                0.92068,                0.61065,                0.80698,                0.81818,                0.85106,                 0.5514,                 1.2423,                 2.1558,                0.67914,                 1.8412,              0.0002015,              0.0002015,              0.0002015
                    111,                 0.8101,                0.95213,                 0.7084,                 1.3621,                0.81046,                0.87475,                0.86267,                 0.5854,                0.80215,                0.79545,                0.83896,                0.53654,                 1.2557,                 2.1778,                0.71513,                 1.8291,               0.000185,               0.000185,               0.000185
                    112,                0.81072,                 0.8971,                 0.6494,                 1.3504,                0.83552,                 0.9237,                0.91293,                0.58866,                0.84778,                0.88609,                0.89173,                0.54389,                 1.2765,                 2.2179,                0.74777,                 1.8587,              0.0001685,              0.0001685,              0.0001685
                    113,                0.74188,                0.88069,                0.58788,                 1.3218,                0.77855,                0.87904,                  0.867,                0.60698,                0.79796,                0.89776,                0.90203,                0.53965,                 1.2152,                 2.3148,                 0.7803,                 1.8438,               0.000152,               0.000152,               0.000152
                    114,                0.74919,                 0.8424,                0.57691,                 1.3234,                0.81181,                0.88241,                0.87996,                0.60778,                0.90032,                0.81818,                0.91085,                0.53982,                 1.1804,                 2.3127,                0.73254,                 1.8133,              0.0001355,              0.0001355,              0.0001355
                    115,                 0.7426,                0.82358,                0.56387,                 1.3308,                0.78908,                0.88636,                 0.9016,                 0.6096,                 0.9644,                0.81818,                0.91477,                0.53906,                 1.1896,                 2.2839,                 0.7598,                 1.8022,               0.000119,               0.000119,               0.000119
                    116,                0.69362,                0.78429,                0.51797,                  1.279,                0.83258,                0.90909,                0.94003,                0.63103,                0.95245,                0.81818,                0.91019,                0.55851,                 1.1656,                 2.3131,                0.77542,                 1.7341,              0.0001025,              0.0001025,              0.0001025
                    117,                0.73195,                0.82493,                0.53705,                 1.2807,                0.84811,                0.90909,                0.93806,                0.65251,                0.97275,                0.81157,                0.92411,                 0.5649,                  1.142,                 2.3579,                0.74754,                 1.7039,                8.6e-05,                8.6e-05,                8.6e-05
                    118,                0.70695,                0.80085,                0.50689,                 1.2771,                0.99582,                0.81818,                0.94792,                0.63291,                0.99582,                0.81818,                0.93442,                0.55931,                   1.16,                 2.3307,                0.72981,                 1.7188,               6.95e-05,               6.95e-05,               6.95e-05
                    119,                0.64278,                0.75474,                 0.4952,                 1.2351,                      1,                0.83442,                0.94962,                0.63371,                      1,                0.83442,                0.93796,                0.56266,                 1.1615,                 2.3173,                0.72483,                 1.7192,                5.3e-05,                5.3e-05,                5.3e-05
                    120,                0.72679,                0.82053,                0.54489,                 1.3266,                0.90813,                 0.8988,                0.93817,                0.64064,                0.94873,                0.84106,                0.93569,                0.56336,                  1.154,                 2.3076,                0.72276,                 1.7171,               3.65e-05,               3.65e-05,               3.65e-05
